"ie",798,"06/27/2018 10:45:24",2864,"06/27/2018 10:45:32",66410,"06/27/2018 10:46:39","06-27-2018 10-46-39.patient.jpg",,
"ie",748,"06/27/2018 10:46:45",2435,"06/27/2018 10:46:53",13253,"06/27/2018 10:47:06","06-27-2018 10-47-06.patient.jpg",,
"ie",1987,"06/27/2018 10:47:13",2552,"06/27/2018 10:47:21",54192,"06/27/2018 10:48:15","06-27-2018 10-48-15.patient.jpg",,
"chrome",798,"06/27/2018 10:48:40",4793,"06/27/2018 10:48:50",6416,"06/27/2018 10:48:57","06-27-2018 10-48-57.patient.jpg",,
"chrome",748,"06/27/2018 10:49:03",84,"06/27/2018 10:49:08",4609,"06/27/2018 10:49:12","06-27-2018 10-49-12.patient.jpg",,
"chrome",1987,"06/27/2018 10:49:18",83,"06/27/2018 10:49:23",23524,"06/27/2018 10:49:47","06-27-2018 10-49-47.patient.jpg",,
"ie",798,"06/27/2018 10:56:49",5317,"06/27/2018 10:56:59",11555,"06/27/2018 10:57:11","06-27-2018 10-57-11.patient.jpg",,
"ie",748,"06/27/2018 10:57:17",2227,"06/27/2018 10:57:25",12448,"06/27/2018 10:57:37","06-27-2018 10-57-37.patient.jpg",,
"ie",1987,"06/27/2018 10:57:44",2257,"06/27/2018 10:57:51",25790,"06/27/2018 10:58:17","06-27-2018 10-58-17.patient.jpg",,
"chrome",798,"06/27/2018 10:58:43",1889,"06/27/2018 10:58:50",4806,"06/27/2018 10:58:55","06-27-2018 10-58-55.patient.jpg",,
"chrome",748,"06/27/2018 10:59:01",78,"06/27/2018 10:59:06",4287,"06/27/2018 10:59:11","06-27-2018 10-59-11.patient.jpg",,
"chrome",1987,"06/27/2018 10:59:16",92,"06/27/2018 10:59:21",10154,"06/27/2018 10:59:32","06-27-2018 10-59-32.patient.jpg",,
"chrome",798,"06/27/2018 11:06:29",792,"06/27/2018 11:06:35",4696,"06/27/2018 11:06:40","06-27-2018 11-06-40.patient.jpg",,
